anger,disgust,fear,happiness,neutral,sadness,surprise
0,0,0,99.992,0.007,0,0
1.271,0.209,0.179,43.13,1.338,53.694,0.179
0.336,2.191,1.52,95.658,0.028,0.028,0.239
0.033,0.029,0.001,87.39,0.001,0.001,12.543
3.786,0.201,18.725,0.695,7.411,66.93,2.251
0,0.007,0,99.99,0,0.001,0.002
0.017,0.027,0.045,99.875,0.004,0.024,0.007
0.741,0.001,0.001,1.985,89.597,0.001,7.673
0.719,0.064,0.064,92.503,6.269,0.319,0.064
0.005,0.005,0.005,82.734,17.228,0.015,0.009
3.457,0.038,0.017,0.042,89.309,7.119,0.017
0.007,0.196,0.002,0.354,99.299,0.003,0.138
0.016,0.096,0.071,0.541,98.992,0.244,0.039
0.095,0.095,13.017,15.371,56.631,14.697,0.095
0.185,12.274,10.434,73.878,2.024,1.02,0.185
7.038,3.641,0.028,0.612,88.624,0.028,0.028
0.001,0.001,0.001,0.001,99.796,0.164,0.036
0.006,0.005,0.005,0.005,99.223,0.718,0.036
0.003,0.002,0.002,0.002,99.783,0.118,0.09
0.002,0.002,0.002,0.002,98.754,1.223,0.013
0.399,0.399,4.933,6.031,63.21,9.53,15.498
0.003,0.003,0.004,0.003,96.756,3.169,0.063
0.001,0.001,0.002,0.001,99.813,0.172,0.009
0.002,0.002,0.002,0.002,97.232,2.722,0.04
4.499,11.19,0.443,16.51,46.221,20.851,0.286
4.782,0.127,0.127,12.893,76.715,5.185,0.169
1.385,0.078,0.078,0.929,90.727,0.175,6.628
4.499,11.19,0.443,16.51,46.221,20.851,0.286
1.385,0.078,0.078,0.929,90.727,0.175,6.628
0.461,0.015,0.015,99.409,0.031,0.015,0.055
0.024,0.024,0.102,41.544,56.928,0.024,1.352
0,0,0.013,99.986,0.001,0,0
0,0,0,0.003,99.986,0.01,0.001
1.242,0.524,0.423,0.08,93.163,4.425,0.144
0.002,0.1,0.039,0.002,99.84,0.014,0.003
0.177,0.051,0.14,0.006,36.919,62.701,0.006
0.007,0.65,0.007,0.183,98.991,0.15,0.01
0.016,0.001,0.001,0.001,97.72,2.259,0.001
0.017,0.017,0.279,0.036,96.781,2.805,0.066
0,0,0.001,99.999,0,0,0
0.133,0.065,0.042,98.317,0.042,0.071,1.33
0.239,0.239,0.37,49.546,18.821,25.893,4.893
0.01,0.064,0.017,99.329,0.34,0.229,0.01
0.099,0.055,0.013,99.697,0.026,0.066,0.043
0,0.003,0,99.986,0.003,0,0.007
